{004df4c6-6fee-4fc5-a108-f414713a71e5} event:/Nested Event
{007817b9-722a-44c8-8e14-cc66233ce495} event:/game/07_summit/altitude_count
{0084fbd2-8d5a-45aa-af92-c9f381e4841c} event:/04_bass
{00c336f3-361c-455c-a735-88d322bb0a87} event:/new_content/game/10_farewell/bird_flyuproll
{01068952-6592-4f80-ae9b-4c7234f64117} event:/02_eye_step1
{014d7e4f-f3b4-45d4-a57e-58edbcb55fee} event:/remixes
{0184282c-539b-401d-a359-baa42185e5a4} event:/1up
{024160fc-f496-4d0a-9b5d-16d473524b95} event:/game/01_forsaken_city/console_static_loop
{026c5b8c-d51e-42df-a9bd-ae7b1e84f7b2} event:/new_content/game/10_farewell/quake_onset
{028de584-9cc9-4a20-98bc-16683824ef62} event:/prefinish
{02c8ac12-1389-44b9-8db8-1df0bd5b09b6} event:/ui/postgame/crystal_heart
{02fa256c-1e08-46e5-9082-85c38b403d4c} event:/music/lvl0/title_ping
{03185ab0-0f08-4c6e-a6ae-1c44da6b2842} event:/game/06_reflection/boss_spikes_burst
{032b6531-9a35-4d3a-9ef0-4847648f21fe} event:/cane_tap_01
{037333ef-5916-4131-a76c-77b8d31c21cd} event:/ui/game/memorial_dream_text_in
{03761f1e-97b2-40a3-965e-67d50ec8e3f8} event:/intensity_3
{03879103-1510-4dca-a1d0-5e8749bfa6a1} event:/game/04_cliffside/gondola_finish
{03c233f3-c314-4560-8d48-a237b0b41c4a} event:/ui/main/whoosh_savefile_in
{03c328c7-8d1c-48c2-b2e6-d1d8225e4d89} event:/new_content/env/local/cafe_computer
{03ff024a-ef86-46ae-a7bd-76eb89b582b6} event:/intensity_1
{0459afbd-77ef-44f9-80d2-dc422d05cee1} event:/Nested Event
{04cc4be2-4acf-474a-a897-8709563af4c3} event:/env/amb/01_main
{04f5475f-dba5-4aab-8641-d24feb95bd78} event:/bumps
{051055e4-9308-4765-9a0b-877491039301} event:/game/05_mirror_temple/seeker_dash_turn
{052e57b9-276e-4eee-ab21-09a978ef3621} event:/new_content/char/tutorial_ghost/dreamblock_sequence
{05362357-0f1e-4f89-9d04-8a2778451a6c} event:/char/oshiro/boss_enter_screen
{05435828-4d37-4ad8-a084-6d7dcf5673b2} event:/Nested Event
{056c87c9-457e-475f-b216-206d73982cd2} event:/game/04_cliffside/gondola_halted_loop
{056d451b-6a5e-4736-8389-6fcf2c9f6485} event:/Nested Event
{05956d91-3c60-437c-b83c-c7883b36408d} event:/game/04_cliffside/arrowblock_debris
{0623a8c0-4454-4c71-9804-ecb030c4eb50} event:/ui/world_map/journal/back
{0653a7ee-59e5-4915-8695-dcba555607b5} event:/new_content/char/madeline/screenentry_stubborn
{066cd550-a394-4bed-a4cf-c71905a160ed} event:/char/madeline/dash_red_right
{06d7cbaf-9d9e-4f67-8adb-37a599dd4c37} event:/char/madeline/dreamblock_enter
{06eddf29-f6ea-43c4-a5a5-5e06c1c5bb61} event:/ui/world_map/whoosh/1000ms_forward
{06f37413-874a-4d3a-b325-e43d5835bded} event:/char/dialogue/theo_mirror
{0793a2c4-4c0b-41de-8f60-cbaed147961b} event:/char/dialogue/sfx_support/phone_static_mom
{07defb47-8579-4c47-9528-289e7a758553} event:/ui/game/hotspot_note_in
{08327e1d-c840-4d1e-9733-0cf4a843f867} event:/new_content/game/10_farewell/fusebox_hit_1
{08853c84-022c-4432-b99f-8894748ea056} event:/ui/world_map/chapter/level_select
{0886e368-bce4-4922-97c3-edeadf714e29} event:/game/general/strawberry_pulse
{097d5975-dee1-42e2-a3f0-1524b9d60fc6} event:/game/05_mirror_temple/button_activate
{09a450ca-2288-49f1-8c2c-f8b3b2b46eb5} event:/Nested Event
{09c2f490-6fc5-4d52-95e1-e873ff360487} event:/classic/sfx4
{0a35baac-0a14-4121-b6fe-8336c5ae6507} event:/new_content/game/10_farewell/endscene_photo_zoom
{0a4ae8c6-5797-4d09-8636-106589eeeeae} event:/new_content/game/10_farewell/glider_emancipate
{0a8fe262-16cf-444f-bb36-dd9f37a2d1bf} event:/bullet_charge_1
{0a9527ad-360b-4cd2-b585-92b066720b34} event:/char/madeline/dreamblock_exit
{0aab6c8a-4133-4265-8bad-098df594150f} event:/new_content/music/lvl10/cinematic/end_intro
{0b58832d-4e27-44db-a154-558d490c3083} event:/game/06_reflection/crushblock_impact
{0bd61e7e-cacd-45d5-8ae3-c3093d3210e0} event:/blublublub_1
{0bf56c65-3c71-4a0a-bce1-0bc63af5b3f6} event:/game/general/touchswitch_last
{0c739c5d-67d7-4d95-861d-cc0d64892a1d} event:/ui/game/tutorial_note_flip_front
{0c8ca90b-c14e-41ca-8233-ec0f74a6aab5} event:/game/00_prologue/fallblock_first_impact
{0ca99c3a-e237-483b-b113-e99ddd8a235f} event:/cane_tap_03
{0cc0f8af-53e0-4301-a6ba-9d3545a34e4e} event:/game/general/assist_nonsolid_in
{0d2b6a74-2224-4d42-b4c1-275e02188e35} event:/char/dialogue/ex
{0d6cb459-91af-4842-8d2b-0f0e103313ef} event:/char/madeline/duck
{0d6edb8b-2936-4e11-bc13-2c8bba70cbfa} event:/game/general/touchswitch_gate_finish
{0d8902b7-105c-4f09-973b-28e701845084} event:/new_content/game/10_farewell/endscene_attachment_notify
{0e0bb484-9840-47f8-a697-773134e4bedb} event:/char/madeline/grab_letgo
{0e132294-09bd-44a3-9af3-9392521eddef} event:/game/general/cassette_block_switch_1
{0e246709-c328-46ea-be68-9e4335a5d60a} event:/1000
